location,country_code,gdp_usd,anxiety_percent_female,anxiety_percent_male,bipolar_percent_female,bipolar_percent_male,depress_percent_female,depress_percent_male,suicide_rate_per100k_female,suicide_rate_per100k_male
Republic of Kazakhstan,KAZ,9983.60103576902,0.0382613060929956,0.0237543495941375,0.0067823564980852,0.0063823581197224,0.0574834038038698,0.0429368515912125,7.679720147244077,41.0509997011384
Republic of Kenya,KEN,2061.35622089594,0.062687261976773,0.0447673863742366,0.0076874420652289,0.0074093369257561,0.0675603979867737,0.0496451900291658,2.7286402002180687,10.08362925573014
Republic of Kiribati,KIR,2253.82500103057,0.0648110202581314,0.0393205959778641,0.0034797315868008,0.0033816040017935,0.0417946758826301,0.0379147783109778,7.891140490975061,51.43726377601263
Republic of Korea,KOR,35125.5224984723,0.0613095795016368,0.0298765669858364,0.00661195304219,0.0058139106937716,0.0403675412916447,0.027453684638977,14.263852462443747,28.302684473659944
Republic of Latvia,LVA,20262.8433862451,0.0798916520382217,0.05013668046139,0.0069440498867943,0.0064854901347857,0.0727574879192822,0.0527352862473656,3.8985589026336713,32.15059069310345
Republic of Liberia,LBR,667.96610514319,0.0486349015118054,0.0384162189832487,0.0064158239594083,0.0062386391176306,0.075999017763365,0.0336422230655294,4.218737265643967,11.49737030246855
Republic of Lithuania,LTU,23934.728489916,0.0912880895514799,0.0556912192748409,0.0069747268766309,0.0064824029761513,0.0824885335438493,0.0596438394804138,4.89308038809667,47.86524537056096
Republic of Madagascar,MDG,490.206238571448,0.0676868307005433,0.0482289681692797,0.0077002066031282,0.0074079010931213,0.0704678734655897,0.0497303842542271,4.298744462390757,10.489073272303306
Republic of Malawi,MWI,617.447520802454,0.0686300238477228,0.0487931215939668,0.0076125462619528,0.0073320008277327,0.0629495807666725,0.0427688170961635,3.205792291180749,16.584778152144224
Republic of Maldives,MDV,10176.143882547,0.0665316925373704,0.0380158416448887,0.0043737421539934,0.0044180787601995,0.0511621360935447,0.03654348212575,0.5104719880599902,3.792016895488099
Republic of Mali,MLI,862.467400106111,0.0444371872073314,0.0348723459317572,0.0063429292904948,0.0061337912687277,0.0519311987048374,0.0323274154858494,3.743024385332144,6.321450311478236
Republic of Malta,MLT,38027.3801730893,0.1057082485710255,0.059932811792046,0.0131691238846661,0.01001409671075,0.0650262619281979,0.036622370133323,1.4795399791513248,7.600936728436517
Republic of Mauritius,MUS,9068.97300226707,0.0688568747817314,0.0389263359476152,0.0043734565682973,0.0042178874835898,0.0731916858494477,0.0461780467809734,4.571568976378932,21.0103003033928
Republic of Moldova,MDA,5274.60582195352,0.0750297525952017,0.0473241644325589,0.0070033344687665,0.0065563101673815,0.0604633839344177,0.0416714516959297,3.2937829044703864,25.34765036319432
Republic of Mozambique,MOZ,509.907829475551,0.0701509650728434,0.0495836858184928,0.0076234903514158,0.0072802871042527,0.0729750648457279,0.0541127286656954,3.62906038073826,20.700347903930577
Republic of Namibia,NAM,4412.8355693052,0.0725964843593484,0.0547317394551912,0.0069794332163673,0.0068456091365473,0.0664443403523418,0.0513781773560323,4.331062089404689,26.88329744567877
